idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,rviento,tss5cm,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,psoltp,pliqt,geo700,indicativo,provincia
0016A,1.178894,2024-01-07T19:00:00,0.0,71.0,14.9,9.4,300.0,41.14972,290.0,REUS/AEROPUERTO,38.0,8.3,8.4,9.5,1004.9,1.2,8.1,1014.2,-5.1,30.0,6.0,0.0,,,,,,,,,,,,,,,,,0016A,TARRAGONA
0076,2.069995,2024-01-07T19:00:00,0.0,4.0,12.4,7.3,340.0,41.29278,330.0,BARCELONA/AEROPUERTO,23.0,10.7,10.7,11.3,1011.4,0.6,10.5,1012.0,-9.4,30.0,4.0,0.0,,,,,,,,,,,,,,,,,0076,BARCELONA
0149X,1.84028,2024-01-07T19:00:00,0.0,291.0,8.6,1.9,356.0,41.71988,300.0,MANRESA,27.0,7.7,7.8,8.2,978.2,,5.3,1013.3,-9.9,20.0,,0.0,,6.6,,,,,,,,,,,,0.0,0.0,,0149X,BARCELONA
0201D,2.200001,2024-01-07T19:00:00,0.0,6.0,10.5,5.3,330.0,41.390556,323.0,BARCELONA CMT,27.0,10.7,10.7,11.2,,,,,-7.5,,,,197.0,,,,,,,,,,,,,,,,0201D,BARCELONA
0252D,2.54,2024-01-07T19:00:00,,74.0,6.9,3.4,324.0,41.587223,333.0,ARENYS DE MAR,17.0,10.1,10.3,11.3,,,,,-13.9,,,,121.0,,,,,,,,,,,,,,,,0252D,BARCELONA
0324A,2.196187,2024-01-07T19:00:00,0.0,675.0,,,,42.191387,,RIPOLL,29.0,5.4,5.5,5.8,,,,,-11.2,,,,81.0,,,,,,,,,,,,,,,,0324A,GIRONA
0367,2.763329,2024-01-07T19:00:00,0.0,143.0,3.1,0.4,200.0,41.911667,200.0,GIRONA/COSTA BRAVA,49.0,4.4,4.5,6.8,995.9,0.6,2.9,1011.8,-5.4,,82.0,0.0,,,,,,,,,,,,,,,,,0367,GIRONA
0372C,2.763611,2024-01-07T19:00:00,0.0,157.0,2.1,0.4,323.0,42.104443,250.0,PORQUERES,46.0,2.5,2.5,4.6,,,,,-7.8,,,,23.0,,,,,,,,,,,,,,,,0372C,GIRONA
1002Y,-1.542961,2024-01-07T19:00:00,0.4,183.0,1.9,0.9,326.0,43.135723,170.0,BAZTÁN  IRURITA,98.0,4.3,4.3,4.5,,0.3,,,3.9,,80.0,,,,,,,,,,,,,,,,,,1002Y,NAVARRA
1014A,-1.792116,2024-01-07T19:00:00,0.0,4.0,4.6,2.1,180.0,43.357075,130.0,DONOSTIA/SAN SEBASTIÁN AEROPUERTO,93.0,6.4,6.4,6.5,1023.1,0.8,6.0,1024.1,5.3,,72.0,,,,,,,,,,,,,,,,,,1014A,GIPUZKOA
1037Y,-2.3175,2024-01-07T19:00:00,0.4,420.0,5.6,1.0,276.0,43.079918,303.0,ZUMARRAGA,90.0,4.3,4.7,4.9,,,,,3.2,,,,62.0,,,,,,,,,,,,,,,,1037Y,GIPUZKOA
1041A,-2.251035,2024-01-07T19:00:00,0.7,28.0,15.0,5.3,39.0,43.30214,22.0,ZUMAIA,84.0,8.2,8.5,8.8,1021.0,,,1024.5,5.9,,,,222.0,,,,,,,,,,,,,,,,1041A,GIPUZKOA
1050J,-2.413218,2024-01-07T19:00:00,0.3,119.0,2.4,0.9,142.0,43.209293,135.0,ELGOIBAR,99.0,5.7,6.1,6.1,1009.9,,,1024.6,5.9,,,,28.0,,,,,,,,,,,,,,,,1050J,GIPUZKOA
1057B,-2.752762,2024-01-07T19:00:00,0.2,93.0,9.0,5.6,26.0,43.453907,25.0,MATXITXAKO,77.0,7.8,7.9,8.2,,,,,,,,,,,,,,,,,,,,,,,,,1057B,BIZKAIA
1059X,-3.021602,2024-01-07T19:00:00,0.6,81.0,14.2,4.9,45.0,43.375088,293.0,PUNTA GALEA ,82.0,7.1,8.0,8.9,1014.2,1.1,,1023.3,5.1,,15.0,,,,,,,,,,,,,,,,,,1059X,BIZKAIA
1078I,-3.104777,2024-01-07T19:00:00,1.5,208.0,7.9,3.1,21.0,43.203384,16.0,GÜEÑES,84.0,4.2,5.1,5.2,999.1,,,1024.8,2.7,,,,65.0,,,,,,,,,,,,,,,,1078I,BIZKAIA
1082,-2.906304,2024-01-07T19:00:00,0.0,42.0,6.2,1.3,220.0,43.29795,30.0,BILBAO AEROPUERTO,91.0,5.7,6.2,6.2,1020.5,0.6,6.9,1025.4,4.8,,46.0,0.0,,,,,,,,,,,,,,,,,1082,BIZKAIA
1083L,-3.233884,2024-01-07T19:00:00,0.0,45.0,7.3,2.0,292.0,43.39473,330.0,CASTRO URDIALES-EDAR,82.0,8.3,9.3,9.9,,,,,6.4,,,,94.0,,,,,,,,,,,,,,,,1083L,CANTABRIA
1111X,-3.800431,2024-01-07T19:00:00,0.0,50.96,7.8,5.2,22.0,43.491055,5.0,SANTANDER CMT,70.0,8.3,10.0,10.1,1017.9,0.8,8.5,1024.9,4.8,20.0,10.0,0.0,,9.9,7.9,19.0,0.0,5.2,1.2,9.0,3.0,10.0,,,,,,,1111X,CANTABRIA
1159,-4.392103,2024-01-07T19:00:00,0.0,38.0,4.1,1.8,226.0,43.393456,206.0,SAN VICENTE  FARO,91.0,7.4,7.8,7.8,1020.4,,,1025.3,6.4,,,,64.0,,,,,,,,,,,,,,,,1159,CANTABRIA
1183X,-4.748056,2024-01-07T19:00:00,0.0,10.0,4.8,2.1,218.0,43.420277,206.0,LLANES,77.0,8.1,8.1,8.5,1024.2,,7.5,1025.4,4.3,19.3,,0.0,,9.9,,,,,,,,,,,,0.0,0.0,,1183X,ASTURIAS
1207U,-5.621111,2024-01-07T19:00:00,0.2,25.8,2.5,1.4,113.0,43.523056,218.0,GIJÓN-CAMPUS,93.0,7.3,7.3,7.8,1022.3,0.3,8.6,1026.3,6.2,4.9,13.0,0.0,,10.6,,,0.24,,,,,11.2,,,,,,,1207U,ASTURIAS
1208H,-5.700833,2024-01-07T19:00:00,0.6,5.0,3.4,0.8,248.0,43.559723,262.0,GIJÓN  MUSEL,85.0,8.6,8.9,9.6,1025.0,,,,,,,,50.0,,,,,,,,,,,,,,,,1208H,ASTURIAS
1210X,-5.848572,2024-01-07T18:00:00,0.0,100.0,6.9,0.8,170.0,43.655926,95.0,CABO PEÑAS,75.0,9.3,9.3,10.0,,,,,5.1,,,,52.0,,,,,,,,,,,,,,,,1210X,ASTURIAS
1212E,-6.044173,2024-01-07T19:00:00,0.0,127.0,4.6,2.2,190.0,43.56694,190.0,ASTURIAS/AVILÉS,87.0,5.2,6.5,6.6,1010.1,0.1,8.6,1026.8,4.5,,5.0,0.0,,,,,,,,,,,,,,,,,1212E,ASTURIAS
1221D,-5.776392,2024-01-07T19:00:00,0.0,1480.0,0.4,0.2,286.0,42.978607,302.0,PAJARES - VALGRANDE,99.0,-1.9,-1.9,-1.7,,,,,-2.0,,,,1.0,,,,,,,,,,,,,,,,1221D,ASTURIAS
1249X,-5.873889,2024-01-07T19:00:00,0.0,334.44,1.8,0.9,173.0,43.353333,180.0,OVIEDO,82.0,6.5,6.5,7.1,985.6,0.2,5.6,1026.4,3.6,20.0,23.0,0.0,,6.9,,,0.0,,,,,7.0,,,,,,,1249X,ASTURIAS
1283U,-6.469998,2024-01-07T19:00:00,0.0,60.0,5.9,4.0,146.0,43.569164,152.0,CABO BUSTO,74.0,7.7,7.7,8.5,1017.7,,7.4,1025.1,3.4,20.0,,0.0,,10.1,,,,,,,,,,,,0.0,,,1283U,ASTURIAS
1331A,-7.031388,2024-01-07T19:00:00,0.0,40.0,2.0,1.1,192.0,43.524723,234.0,CASTROPOL,88.0,5.7,5.7,7.0,,,,,3.9,,,,27.0,,,,,,,,,,,,,,,,1331A,ASTURIAS
1351,-7.684866,2024-01-07T19:00:00,0.0,90.39,10.4,6.6,93.0,43.78621,105.0,ESTACA DE BARES,63.0,10.3,10.3,10.6,1013.9,,8.4,,,,,0.0,,10.3,,,,,,,,,,,,0.0,0.0,,1351,A CORUÑA
1387,-8.421517,2024-01-07T19:00:00,0.0,57.07,5.3,3.3,80.0,43.36597,110.0,A CORUÑA,71.0,9.3,9.3,10.1,1017.0,0.6,7.9,1025.0,4.3,20.0,10.0,0.0,,10.2,,,0.0,,,,,10.8,,,,,,,1387,A CORUÑA
1387E,-8.371975,2024-01-07T19:00:00,0.0,98.0,3.1,0.7,80.0,43.306953,110.0,A CORUÑA/ALVEDRO,73.0,7.3,7.5,8.8,1012.2,0.4,1.9,1024.9,3.0,30.0,88.0,0.0,,,,,,,,,,,,,,,,,1387E,A CORUÑA
1393,-9.210829,2024-01-07T19:00:00,0.0,50.0,,,,43.160557,,CABO VILAN,65.0,7.9,8.0,8.5,,,,,1.9,,,,,,,,,,,,,,,,,,,,1393,A CORUÑA
1400,-9.291434,2024-01-07T19:00:00,0.0,230.0,7.3,5.0,85.0,42.924828,83.0,FISTERRA,67.0,8.5,8.5,9.2,995.6,,6.0,1023.6,2.7,20.0,,0.0,,10.2,,,,,,,,,,,,0.0,0.0,,1400,A CORUÑA
1428,-8.410515,2024-01-07T19:00:00,0.0,370.0,3.6,0.4,80.0,42.888012,80.0,SANTIAGO DE COMPOSTELA/LABACOLLA,87.0,4.8,5.0,5.4,980.2,0.4,3.2,1025.1,3.0,30.0,118.0,0.0,,6.4,,,,,,,,5.7,,,,,,,1428,A CORUÑA
1473A,-8.627222,2024-01-07T19:00:00,0.0,100.0,3.1,0.5,56.0,42.738335,74.0,PADRÓN,78.0,5.2,5.3,6.5,,,,,1.7,,,,47.0,,,,,,,,,,,,,,,,1473A,A CORUÑA
1475X,-8.555833,2024-01-07T19:00:00,0.0,240.0,2.1,0.9,27.0,42.87611,39.0,SANTIAGO DE COMPOSTELA,76.0,6.6,6.6,8.1,,,,,2.7,,,,36.0,,,,,,,,,,,,,,,,1475X,A CORUÑA
1484C,-8.615833,2024-01-07T19:00:00,,113.3,1.6,0.8,108.0,42.43833,95.0,PONTEVEDRA,89.0,6.9,6.9,7.8,1009.5,0.2,3.6,1024.1,5.1,15.0,35.0,0.0,,8.1,,,0.0,,,,,9.9,,,,,,,1484C,PONTEVEDRA
1495,-8.623765,2024-01-07T19:00:00,0.0,254.6,4.1,2.2,200.0,42.238617,200.0,VIGO/PEINADOR,93.0,4.2,4.4,5.2,992.9,0.1,3.3,1024.8,3.4,,7.0,0.0,,,,,,,,,,,,,,,,,1495,PONTEVEDRA
